id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews
15206272,Rooming has never been better.,95572265,Laura,Brooklyn,Bedford-Stuyvesant,Private room,50,30,25
28784880,*PRIVATE* Loft 5 minutes away from LaGuardia,65671256,Freddy,Queens,East Elmhurst,Entire home/apt,105,1,172
44320572,"138 Bowery, Suite with King Bed",51548122,Jeniffer,Manhattan,Nolita,Entire home/apt,160,15,11
48295712,Panoramic Water Views  |  Luxury building Studio,385091169,Lane,Manhattan,Financial District,Entire home/apt,145,30,0
35374299,Cozy South Williamsburg Room- Best Location in BK,9843389,Lawrence,Brooklyn,Williamsburg,Private room,50,1,7
36392805,Summer Skyline Oasis,1137008,Carlos,Manhattan,Morningside Heights,Entire home/apt,98,30,0
36974600,Bayview Experience,206531358,Delores,Queens,Arverne,Entire home/apt,200,3,53
3789265,Lovely Walk Up in the Heights,5680409,Jennifer,Manhattan,Washington Heights,Shared room,100,30,0
23372850,SHOOTS ONLY - Eclectic Artist Loft in Williamsburg,11844979,V,Brooklyn,Williamsburg,Entire home/apt,2000,1,0
6560459,"Chill, Sunny Room Bed-Stuy Bushwick",34313950,Bee,Brooklyn,Bedford-Stuyvesant,Private room,48,30,0
12343,BEST BET IN HARLEM,47727,Earl,Manhattan,Harlem,Entire home/apt,250,30,107
40943649,Light filled studio in Heart of Lower east side,319004394,Larance,Manhattan,Lower East Side,Entire home/apt,91,30,2
40632899,Clean and Convenient Weekly Rental in Bed-Stuy,123947809,Alexander,Brooklyn,Bedford-Stuyvesant,Entire home/apt,92,5,7
30043083,Home away from home lodging #1  (1 Bed- 1 guest),225790094,Vena,Brooklyn,East Flatbush,Private room,48,1,14
41594233,Cozy Apartment close to La Guardia Airport,269886403,Resort,Queens,Jackson Heights,Entire home/apt,125,30,0
7398507,Chic apartment on Central Park West,5898139,Nicholas,Manhattan,Upper West Side,Entire home/apt,185,30,1
43774160,"Charming, sunny room in artist's apartment",349860058,Deycke,Brooklyn,Bedford-Stuyvesant,Private room,48,2,63
25867636,NEW Charming Studio,194349000,Ramsey,Brooklyn,Gowanus,Entire home/apt,200,30,0
43703156,Cozy Studio w stunning Rooftop in the East Village,26846438,Marine,Manhattan,East Village,Entire home/apt,120,4,1
22567430,Oasis in East Flatbush,165853174,Jackee,Brooklyn,East Flatbush,Entire home/apt,89,7,103
45203174,Madison Ave 4 Bedroom Triplex,357279975,Amal,Manhattan,East Harlem,Entire home/apt,493,4,9
43391999,Small Reasonable stay in NYC 3min Subway Grand Ave,19303369,Hiroki,Queens,Elmhurst,Private room,38,30,0
48306423,Queen Room for Rent in Hell's Kitchen Location,305240193,June,Manhattan,Hell's Kitchen,Private room,77,30,0
