,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
212,Dion Waiters,SG,28,LAL,5,0,38,3.8,11.4,.333,0.0,3.8,.000,3.8,7.6,.500,1.9,1.9,1.000,0.0,1.9,1.9,1.9,0.9,0.9,0.9,1.9,9.5
213,Kemba Walker,PG,29,BOS,17,17,628,6.5,14.7,.441,2.2,7.2,.310,4.2,7.5,.569,4.0,4.6,.852,0.3,3.6,4.0,4.9,0.9,0.4,1.8,2.5,19.1
214,Brad Wanamaker,PG,30,BOS,17,0,273,3.8,7.9,.483,1.6,3.6,.444,2.2,4.4,.515,1.8,2.1,.875,0.3,4.2,4.5,4.0,1.6,0.5,2.4,4.2,11.1
215,T.J. Warren,SF,26,IND,4,4,156,7.4,15.7,.471,1.6,4.4,.368,5.8,11.3,.510,2.1,2.1,1.000,1.2,4.6,5.8,2.8,2.1,0.2,2.5,3.7,18.5
216,Tremont Waters,PG,22,BOS,1,0,2,0.0,18.0,.000,0.0,18.0,.000,0.0,0.0,,0.0,0.0,,0.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0
217,Paul Watson,SF,25,TOR,2,0,9,4.0,8.0,.500,0.0,0.0,,4.0,8.0,.500,0.0,0.0,,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,8.0
218,Russell Westbrook,PG,31,HOU,8,8,262,8.1,19.2,.421,1.1,4.5,.242,7.0,14.7,.477,2.3,4.4,.531,1.5,6.2,7.7,5.1,1.6,0.3,4.1,3.2,19.6
219,Hassan Whiteside,C,30,POR,5,3,106,4.4,8.2,.542,0.3,0.3,1.000,4.1,7.8,.522,2.4,4.8,.500,2.4,9.5,11.9,0.7,0.3,3.4,2.0,5.8,11.5
220,Grant Williams,PF,21,BOS,17,0,170,3.2,5.5,.577,2.1,3.6,.588,1.1,1.9,.556,1.5,2.1,.700,1.5,4.0,5.5,1.3,0.4,1.1,0.8,7.0,10.0
221,Lou Williams,SG,33,LAC,13,0,341,6.5,15.4,.425,1.3,5.4,.235,5.3,10.0,.526,3.2,3.9,.811,0.7,3.6,4.3,5.8,1.1,0.2,2.2,1.9,17.5
222,Marvin Williams,PF,33,MIL,10,0,179,4.2,9.5,.447,2.0,4.6,.435,2.2,4.8,.458,0.6,0.6,1.000,2.6,7.0,9.7,1.8,1.0,0.6,0.6,2.8,11.1
223,Robert Williams,C,22,BOS,13,0,149,5.6,7.5,.742,0.0,0.2,.000,5.6,7.2,.767,0.5,1.4,.333,5.3,7.0,12.3,2.4,0.7,1.4,1.7,4.3,11.6
224,Nigel Williams-Goss,PG,25,UTA,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0
225,Delon Wright,SG,27,DAL,4,0,53,4.1,6.8,.600,0.7,1.4,.500,3.4,5.4,.625,2.0,3.4,.600,0.7,1.4,2.0,4.8,3.4,0.0,3.4,1.4,10.9
226,Ivica Zubac,C,22,LAC,13,13,320,5.0,8.8,.564,0.0,0.0,,5.0,8.8,.564,3.4,4.2,.811,3.5,7.0,10.5,0.9,0.2,1.1,1.4,3.8,13.3
