,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
534,Austin Rivers,SG,27,HOU,68,4,1594,4.8,11.3,.421,2.2,6.1,.356,2.6,5.2,.498,1.8,2.5,.703,0.6,3.3,4.0,2.6,1.1,0.2,1.1,2.9,13.5
535,Andre Roberson,SG,28,OKC,7,0,87,3.3,12.0,.276,1.2,5.8,.214,2.1,6.2,.333,0.4,0.8,.500,2.9,8.3,11.2,1.7,0.4,1.2,0.8,5.4,8.3
536,Duncan Robinson,SG,25,MIA,73,68,2166,5.4,11.4,.470,4.5,10.1,.446,0.9,1.3,.654,1.1,1.2,.931,0.2,3.7,3.9,1.7,0.6,0.3,1.2,3.2,16.3
537,Glenn Robinson III,SF,26,TOT,62,52,1786,5.8,11.9,.486,1.6,4.0,.391,4.3,8.0,.534,1.5,1.7,.860,1.6,3.8,5.4,1.9,1.1,0.3,1.1,2.0,14.7
538,Glenn Robinson III,SF,26,GSW,48,48,1516,5.8,12.0,.481,1.6,4.0,.400,4.2,8.0,.522,1.5,1.8,.851,1.6,3.8,5.4,2.0,1.1,0.3,1.2,1.9,14.7
539,Glenn Robinson III,SF,26,PHI,14,4,270,5.9,11.3,.518,1.2,3.6,.333,4.7,7.7,.603,1.5,1.6,.917,2.0,3.9,5.9,1.5,1.2,0.3,0.7,2.4,14.4
540,Jerome Robinson,SG,22,TOT,63,6,979,4.2,11.4,.371,1.8,5.6,.320,2.4,5.8,.420,1.5,2.1,.702,0.5,4.3,4.7,3.2,1.0,0.6,1.8,4.1,11.7
541,Jerome Robinson,SG,22,LAC,42,1,476,3.5,10.3,.338,1.4,5.1,.284,2.0,5.2,.391,0.8,1.4,.579,0.4,4.2,4.5,3.5,1.0,0.6,2.0,4.2,9.2
542,Jerome Robinson,SG,22,WAS,21,5,503,4.9,12.5,.397,2.1,6.2,.349,2.8,6.3,.443,2.1,2.7,.763,0.6,4.4,4.9,2.9,1.1,0.6,1.6,4.1,14.1
543,Justin Robinson,PG,22,WAS,9,0,49,3.7,8.8,.417,2.2,3.7,.600,1.5,5.1,.286,0.0,0.0,,0.7,2.9,3.7,5.1,0.0,0.7,2.2,1.5,9.6
544,Mitchell Robinson,C,21,NYK,61,7,1412,6.5,8.7,.742,0.0,0.0,,6.5,8.7,.742,2.1,3.8,.568,4.7,6.2,10.9,0.9,1.3,3.0,0.9,4.9,15.0
