,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
296,Solomon Hill,SF,28,MEM,48,3,901,5.0,12.1,.412,2.9,7.6,.381,2.1,4.5,.465,1.3,2.0,.684,1.2,6.2,7.5,4.9,1.6,0.4,2.1,3.8,14.2,,109,112
297,Solomon Hill,SF,28,MIA,11,1,187,3.7,11.7,.311,1.8,6.3,.292,1.8,5.5,.333,3.7,4.2,.875,1.3,4.2,5.5,2.6,3.1,1.3,2.9,3.1,12.8,,91,107
298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,Jaylen Hoard,SF,20,POR,13,0,103,6.9,14.8,.469,0.0,1.4,.000,6.9,13.4,.517,3.7,6.0,.615,6.5,8.3,14.8,1.9,2.3,0.0,1.9,5.6,17.6,,113,113
300,Aaron Holiday,PG,23,IND,66,33,1617,7.0,16.9,.414,2.6,6.6,.394,4.4,10.3,.427,2.2,2.6,.851,0.7,4.0,4.7,6.8,1.7,0.5,2.6,3.6,18.8,,104,110
301,Jrue Holiday,SG,29,NOP,61,61,2117,10.0,22.0,.455,2.7,7.6,.353,7.3,14.4,.509,2.8,4.0,.709,1.7,4.7,6.4,8.9,2.2,1.0,4.0,3.2,25.5,,108,112
302,Justin Holiday,SG,30,IND,73,6,1826,5.5,12.9,.428,3.6,8.8,.405,2.0,4.1,.477,1.4,1.8,.791,0.9,5.5,6.3,2.5,2.3,1.2,1.2,3.6,16.0,,114,107
303,Rondae Hollis-Jefferson,SF,25,TOR,60,6,1122,6.6,13.9,.471,0.1,1.0,.130,6.4,13.0,.497,4.5,6.1,.734,4.7,7.3,12.0,4.5,2.0,1.0,2.5,4.9,17.7,,114,104
304,Richaun Holmes,C,26,SAC,44,38,1242,8.7,13.4,.648,0.0,0.0,,8.7,13.4,.648,3.6,4.6,.788,5.0,9.0,14.0,1.6,1.6,2.2,2.0,6.6,21.1,,131,109
305,Rodney Hood,SF,27,POR,21,21,619,6.7,13.2,.506,2.7,5.5,.493,4.0,7.8,.515,1.6,2.1,.778,0.8,4.8,5.5,2.5,1.3,0.3,1.5,3.5,17.7,,121,117
306,Al Horford,C,33,PHI,67,61,2025,7.6,17.0,.450,2.4,6.8,.350,5.3,10.2,.516,1.5,1.9,.763,2.5,8.4,10.9,6.5,1.2,1.5,1.9,3.4,19.1,,115,109
307,Talen Horton-Tucker,SG,19,LAL,6,1,81,8.2,17.6,.467,2.3,7.6,.308,5.9,10.0,.588,1.2,2.3,.500,1.2,2.9,4.1,3.5,4.7,0.6,3.5,5.9,20.0,,97,103
308,Danuel House,SF,26,HOU,63,52,1913,5.6,13.0,.427,3.1,8.6,.363,2.4,4.5,.549,1.8,2.2,.811,1.4,5.1,6.5,2.1,1.6,0.8,1.3,3.2,16.0,,114,112
309,Dwight Howard,C,34,LAL,69,2,1306,7.4,10.1,.729,0.1,0.2,.600,7.2,9.9,.732,4.0,7.8,.514,6.3,12.2,18.5,1.6,1.1,2.9,3.1,8.1,18.8,,125,103
310,William Howard,PF,26,HOU,2,0,13,0.0,14.2,.000,0.0,14.2,.000,0.0,0.0,,0.0,0.0,,0.0,7.1,7.1,3.6,0.0,0.0,3.6,3.6,0.0,,14,115
311,Kevin Huerter,SG,21,ATL,56,48,1760,6.7,16.1,.413,3.4,8.8,.380,3.3,7.3,.453,1.4,1.7,.828,0.9,5.1,6.0,5.6,1.4,0.7,2.3,3.7,18.1,,107,116
312,De'Andre Hunter,SF,22,ATL,63,62,2018,6.5,15.8,.410,2.5,7.0,.355,4.0,8.8,.454,2.5,3.3,.764,1.0,5.6,6.6,2.6,1.0,0.4,2.4,4.2,18.0,,100,117
313,Chandler Hutchison,SF,23,CHI,28,10,527,7.3,16.0,.457,1.1,3.5,.316,6.2,12.5,.496,4.2,7.1,.590,1.6,8.2,9.9,2.4,2.5,0.6,2.5,4.3,19.9,,101,108
314,Serge Ibaka,C,30,TOR,55,27,1485,11.0,21.5,.512,2.2,5.8,.385,8.7,15.6,.559,2.9,4.0,.718,3.7,10.8,14.5,2.5,0.9,1.5,3.5,4.9,27.1,,108,104
315,Andre Iguodala,SG,36,MIA,21,0,418,4.4,10.3,.432,1.6,5.5,.298,2.8,4.8,.585,0.7,1.8,.400,2.0,7.1,9.1,6.0,1.6,2.5,3.0,4.1,11.2,,101,107
316,Ersan İlyasova,PF,32,MIL,63,8,986,6.8,14.5,.466,2.3,6.3,.365,4.4,8.2,.545,3.3,4.0,.828,2.9,11.1,14.0,2.3,1.1,0.8,1.6,4.4,19.2,,119,102
317,Joe Ingles,SF,32,UTA,72,45,2137,5.6,12.6,.445,3.2,8.0,.399,2.4,4.6,.525,1.7,2.1,.787,0.6,5.7,6.3,8.5,1.5,0.3,3.2,3.5,16.1,,115,111
318,Brandon Ingram,PF,22,NOP,62,62,2104,11.2,24.1,.463,3.3,8.4,.391,7.9,15.7,.501,6.9,8.1,.851,1.1,7.2,8.4,5.7,1.3,0.8,4.2,3.9,32.5,,112,112
319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Kyrie Irving,PG,27,BRK,20,20,658,14.3,29.9,.478,4.0,10.2,.394,10.3,19.7,.522,6.8,7.3,.922,1.6,5.8,7.4,9.2,1.9,0.7,3.7,3.8,39.4,,119,109
321,Jonathan Isaac,SF,22,ORL,34,32,980,7.7,16.5,.470,1.6,4.7,.340,6.2,11.8,.521,3.0,3.8,.779,2.9,8.6,11.5,2.4,2.6,3.9,2.4,4.1,20.1,,107,103
322,Wesley Iwundu,SF,25,ORL,52,21,953,5.0,11.9,.416,1.4,4.2,.341,3.5,7.7,.457,4.0,5.0,.804,1.2,5.5,6.7,3.1,1.3,0.7,1.3,4.1,15.3,,113,112
323,Frank Jackson,PG,21,NOP,59,2,797,7.8,19.2,.405,2.7,8.4,.326,5.1,10.9,.465,3.3,4.4,.747,1.3,3.5,4.8,3.5,1.0,0.2,2.8,4.5,21.5,,100,116
324,Jaren Jackson Jr.,C,20,MEM,57,57,1622,10.2,21.7,.469,4.2,10.6,.394,6.0,11.1,.540,4.0,5.4,.747,1.6,6.0,7.5,2.2,1.2,2.6,2.8,6.7,28.5,,110,110
