,Player,Pos,Age,Tm,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
124,Wilson Chandler,SF,32,BRK,35,734,,1%,21%,75%,3%,-7.0,-8.0,11,7,46,5,9,1,99,2,4
125,Joe Chealey,PG,24,CHO,4,33,100%,,,,,-22.6,-15.7,1,0,1,0,1,0,2,0,1
126,Zylan Cheatham,SF,24,NOP,4,51,,,33%,67%,1%,-24.5,-23.5,1,0,5,1,0,0,7,0,0
127,Chris Chiozza,PG,24,TOT,28,401,100%,,,,,10.6,14.0,23,6,10,2,3,7,208,1,7
128,Chris Chiozza,PG,24,WAS,10,123,100%,,,,,18.6,24.0,6,3,2,0,0,0,71,0,4
129,Chris Chiozza,PG,24,BRK,18,278,100%,,,,,7.2,8.5,17,3,8,2,3,7,137,1,3
130,Marquese Chriss,PF,22,GSW,59,1196,,,,3%,97%,-9.0,-0.2,29,17,57,21,68,7,270,12,23
131,,,,,,,,,,,,,,,,,,,,,,
132,Gary Clark,PF,25,TOT,42,567,,,6%,89%,5%,-3.3,-4.7,5,3,29,1,5,3,43,2,1
133,Gary Clark,PF,25,HOU,18,212,,,4%,86%,10%,3.4,0.5,1,1,16,0,3,0,32,1,1
134,Gary Clark,PF,25,ORL,24,355,,,7%,91%,2%,-7.5,-7.2,4,2,13,1,2,3,11,1,0
135,Brandon Clarke,PF,23,MEM,58,1300,,,23%,71%,6%,-0.2,0.8,21,14,55,12,54,6,182,19,20
136,Jordan Clarkson,SG,27,TOT,71,1705,5%,82%,13%,,,-0.2,3.2,38,31,44,11,71,4,341,25,52
137,Jordan Clarkson,SG,27,CLE,29,666,2%,89%,8%,1%,,-6.3,2.2,21,9,12,3,37,1,174,15,22
138,Jordan Clarkson,SG,27,UTA,42,1039,7%,77%,16%,,,3.6,1.9,17,22,32,8,34,3,167,10,30
139,Nicolas Claxton,PF,20,BRK,15,187,,,,29%,71%,-17.5,-17.8,0,4,5,4,9,2,37,3,5
140,Chris Clemons,SG,22,HOU,33,291,82%,18%,,,,-11.0,-15.2,11,2,14,2,2,6,64,0,4
141,Antonius Cleveland,SG,25,DAL,11,46,6%,26%,68%,,,-9.2,-14.3,1,0,6,0,2,0,2,1,2
142,Amir Coffey,SG,22,LAC,18,159,,11%,85%,4%,,2.7,-3.9,5,1,12,1,3,0,37,1,4
143,John Collins,PF,22,ATL,41,1363,,,,53%,47%,-5.6,4.1,22,30,78,17,69,1,144,22,54
144,Zach Collins,PF,22,POR,11,290,,,,79%,21%,7.3,8.9,5,3,23,4,3,2,34,0,6
145,Mike Conley,PG,32,UTA,47,1363,100%,,,,,2.0,-0.4,55,23,35,7,57,30,499,12,15
146,Pat Connaughton,SG,27,MIL,67,1243,7%,57%,35%,2%,,5.1,-7.6,28,17,46,1,17,7,267,6,18
147,Quinn Cook,PG,26,LAL,44,508,92%,8%,,,,5.0,-1.0,16,11,11,1,7,4,119,2,12
148,Tyler Cook,PF,22,TOT,13,54,,,,45%,56%,-17.6,-15.1,0,2,5,0,4,0,2,0,0
149,Tyler Cook,PF,22,CLE,11,35,,,,30%,70%,-21.2,-13.3,0,1,4,0,3,0,2,0,0
150,Tyler Cook,PF,22,DEN,2,19,,,,71%,29%,-11.0,-13.3,0,1,1,0,1,0,0,0,0
151,Robert Covington,PF-C,29,TOT,70,2137,,,8%,68%,25%,0.2,1.1,43,25,111,13,57,18,217,15,23
152,Robert Covington,PF,29,MIN,48,1411,,,11%,88%,,-2.5,3.9,32,17,71,7,42,13,132,11,14
153,Robert Covington,C,29,HOU,22,726,,,,28%,72%,5.2,2.8,11,8,40,6,15,5,85,4,9
154,Allen Crabbe,SG,27,TOT,37,653,7%,54%,37%,2%,,-16.6,-11.5,5,6,29,2,7,2,81,2,7
155,Allen Crabbe,SG,27,ATL,28,522,9%,50%,39%,3%,,-15.4,-8.9,3,3,23,2,6,2,68,2,7
156,Allen Crabbe,SG,27,MIN,9,131,,70%,30%,1%,,-21.1,-17.3,2,3,6,0,1,0,13,0,0
157,Torrey Craig,SF,29,DEN,58,1072,,22%,73%,5%,,-5.7,-11.3,11,4,77,4,15,5,110,6,10
158,Jamal Crawford,SG,39,BRK,1,6,,100%,,,,28.6,29.3,0,0,0,0,0,0,7,0,0
159,Jae Crowder,SF,29,TOT,65,1875,,2%,64%,33%,1%,-2.1,-4.3,40,12,66,10,44,17,373,10,21
160,Jae Crowder,SF,29,MEM,45,1322,,2%,73%,25%,,-3.5,-4.5,31,11,40,6,32,12,285,7,14
161,Jae Crowder,SF,29,MIA,20,553,,1%,42%,54%,3%,1.4,-1.8,9,1,26,4,12,5,88,3,7
162,Jarrett Culver,SG,20,MIN,63,1506,11%,53%,36%,,,-3.4,2.3,32,20,69,15,55,4,266,10,53
163,Seth Curry,SG,29,DAL,64,1576,21%,73%,6%,,,3.8,-2.0,24,19,39,7,28,11,306,10,14
164,,,,,,,,,,,,,,,,,,,,,,
165,Stephen Curry,PG,31,GSW,5,139,100%,,,,,-14.9,-6.4,9,4,3,2,13,1,77,3,4
166,Troy Daniels,SG,28,TOT,47,532,1%,43%,55%,2%,,2.4,-1.7,3,3,19,2,7,1,42,4,4
167,Troy Daniels,SG,28,LAL,41,456,,37%,61%,2%,,3.0,-3.3,2,3,15,1,7,1,35,4,4
168,Troy Daniels,SG,28,DEN,6,76,4%,80%,16%,,,-1.1,-3.4,1,0,4,1,0,0,7,0,0
169,Anthony Davis,PF,26,LAL,62,2131,,,,60%,40%,4.7,-3.0,70,47,99,16,179,16,487,54,41
170,Ed Davis,C,30,UTA,28,303,,,,,100%,-16.5,-20.5,4,1,38,4,4,0,31,2,6
171,Terence Davis,SG,22,TOR,72,1209,7%,61%,33%,,,8.6,3.0,38,18,53,9,26,4,281,11,28
172,Dewayne Dedmon,C,30,TOT,44,774,,,,,100%,-1.9,3.4,22,10,68,17,18,7,51,8,13
173,Dewayne Dedmon,C,30,SAC,34,541,,,,,100%,-3.0,-1.0,16,9,47,14,12,4,35,4,9
174,Dewayne Dedmon,C,30,ATL,10,233,,,,,100%,0.4,9.0,6,1,21,3,6,3,16,4,4
175,Matthew Dellavedova,PG,29,CLE,57,821,84%,14%,2%,,,0.3,11.2,43,12,26,3,11,19,419,3,7
